document_id,date_start,date_end,author.name,author.user_id,latitude,longitude,skitouring,rock_climbing,mountain_climbing,ice_climbing,hiking,snow_ice_mixed
1029012,2018-08-10,2018-08-10,Christian Pierron,416974,751218.2789598354,5835281.079354717,False,False,False,False,True,False
1028829,2018-08-10,2018-08-10,[Compte fermé],811780,-15009.206943657788,5277776.402902267,False,False,False,False,True,False
1028544,2018-08-10,2018-08-10,Antoine Marnat,384121,685943.5241672797,5607824.580020037,False,False,True,False,True,False
1028488,2018-08-10,2018-08-10,D@vid,7085,755746.2949723059,5508631.095541967,False,False,False,False,True,False
1028376,2018-08-10,2018-08-10,-Dav-,385914,753073.4662422815,5837030.1028169785,False,False,False,False,True,False
1028114,2018-08-09,2018-08-09,Passy Alpirunning,369397,749104.1327054207,5774647.82809583,False,False,False,False,True,False
1028052,2018-08-09,2018-08-09,Sophie Ferlin,187710,728733.4537663086,5629007.905445974,False,False,False,False,True,False
1106800,2018-08-08,2018-08-08,frangre38760,961616,673278.7036934452,5722809.653218645,False,False,False,False,True,False
1041490,2018-08-08,2018-08-08,Ororange,772852,734944.8963015657,5642147.15881869,False,True,False,False,True,False
1031273,2018-08-08,2018-08-08,Floch1,934823,718183.8174247978,5763709.398615733,False,False,False,False,True,False
1028965,2018-08-08,2018-08-08,Carpe Diem,136048,780157.4843244902,5683985.433475075,False,False,False,False,True,False
1028070,2018-08-08,2018-08-08,Gabriel BENOUVILLE,1021137,662622.7010970034,5621149.306710853,False,False,False,False,True,False
1027827,2018-07-30,2018-08-08,Gilles Boucansaud,3856,667223.6761555456,5654339.79711372,False,False,False,False,True,False
1027781,2018-08-08,2018-08-08,Patrick Prele,10284,764133.5532577564,5659542.464748867,False,False,True,False,True,False
1114263,2018-08-07,2018-08-07,Rozenn,6057,44246.82592254663,5270712.317333344,False,False,False,False,True,False
1029003,2018-08-07,2018-08-07,Christian Pierron,416974,745511.8249811432,5820219.169512851,False,False,False,False,True,False
1028590,2018-08-07,2018-08-07,Inami,573987,660470.9329149598,5646322.236305414,False,False,True,False,True,False
1028534,2018-08-03,2018-08-07,yfe,1028522,622065.8422942712,5589697.080162039,False,False,False,False,True,False
1027551,2018-08-05,2018-08-07,Guillaume.P,658897,-33482.75993041918,5289896.929548452,False,False,False,False,True,False
1033225,2018-08-06,2018-08-06,ren34,472008,98909.33421416131,5288016.889956996,False,False,False,False,True,False
1031459,2018-08-06,2018-08-06,Raphaël,1031456,702048.9848967363,5581504.049480505,False,False,False,False,True,False
1027034,2018-08-06,2018-08-06,Sophie Ferlin,187710,762883.7136748739,5729029.716579609,False,False,False,False,True,False
1027033,2018-08-06,2018-08-06,janic,578085,27244.155905608462,5292897.833186464,False,False,False,False,True,False
1027024,2018-08-06,2018-08-06,Patrick Prele,10284,783485.2036645189,5694160.969006863,False,False,False,False,True,True
1026930,2018-08-06,2018-08-06,daouad,640282,7852.423626355376,5270802.201576002,False,False,False,False,True,False
1030343,2018-08-04,2018-08-05,lo_biarnes,539321,-18830.49585062312,5281588.138135921,False,False,False,False,True,False
1027416,2018-08-05,2018-08-05,Le débutant,1026556,707561.1179093529,5901220.924382817,False,False,False,False,True,False
1027286,2018-08-05,2018-08-05,aurel69,786890,625004.166431135,5634927.885842509,False,False,False,False,True,False
1027280,2018-08-05,2018-08-05,unCplus,8243,757735.3554543585,5783285.5006324025,False,False,False,False,True,False
1027154,2018-08-05,2018-08-05,JulBont,470196,739408.7164490827,5671854.306168887,False,False,True,False,True,False
1027121,2018-08-05,2018-08-05,Mountain Climber,11409,733716.1888686869,5761457.506079441,False,False,False,False,True,False
1027042,2018-08-05,2018-08-05,Camille,1027025,750312.5317659274,5816168.246635019,False,False,False,False,True,False
1026967,2018-08-05,2018-08-05,Baptiste Ricaud,934561,652938.5737849473,5586958.289650036,False,False,False,False,True,False
1026806,2018-08-05,2018-08-05,Alexandre,1006659,56257.159997226634,5271901.7801975515,False,False,False,False,True,False
1026596,2018-08-05,2018-08-05,-Dav-,385914,736407.2633456204,5715615.597698089,False,False,False,False,True,False
1026557,2018-08-05,2018-08-05,ragnar74,487575,718183.8174247978,5763709.398615733,False,False,False,False,True,False
1026463,2018-08-05,2018-08-05,costa,931360,765448.4036891576,5788352.928313121,False,False,False,False,True,False
1026462,2018-08-05,2018-08-05,Greg,360414,752159.3052513406,5779191.0616274215,False,False,False,False,True,False
1033113,2018-08-04,2018-08-04,ren34,472008,130978.51286736502,5268183.762002359,False,False,False,False,True,False
1028830,2018-08-04,2018-08-04,tartopum73,315295,745436.7641972653,5751988.968405979,False,False,False,False,True,False
1027587,2018-08-04,2018-08-04,Miche31820,473745,19762.885677165697,5291183.173012129,False,False,False,False,True,False
1027546,2018-08-03,2018-08-04,Guillaume.P,658897,3123.1796336956127,5268860.390291112,False,False,False,False,True,False
1027380,2018-08-04,2018-08-04,Clément,913139,713881.1335731529,5611285.548330002,False,False,True,False,True,False
1026781,2018-08-04,2018-08-04,boul,139282,720439.9668875083,5781537.287222348,False,False,False,False,True,False
1026740,2018-08-04,2018-08-04,Death Jester,926808,762212.9589329622,5762991.140026972,False,False,False,False,True,False
1026719,2018-08-04,2018-08-04,capitaine_bena,732251,761320.3450910418,5746229.332941407,False,False,False,False,True,False
1026709,2018-08-04,2018-08-04,nanard74,601929,718586.9053009592,5797462.240232039,False,False,False,False,True,False
1026313,2018-08-04,2018-08-04,SimonP,4049,658762.7875102956,5649578.080607114,False,False,False,False,True,False
